CO-BRANCH;OFFICE;PRODUCT;GROUP;Des-25;Jan-26;Feb-26;Mar-26;Apr-26;Mei-26;Jun-26;Jul-26;Agu-26
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;AUTO_LOAN;Consumer;0;0;0;0;0;0;0;0;0
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;CICIL_EMAS;Consumer;4627765644;2.089.626.667;2075922598;4145374676;1876058957;299474469;511148400;971227022;223552752
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;KPR;Consumer;150000000;1070000000;0;0;653700000;0;237500000;0;0
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;MULTIGUNA;Consumer;370000000;0;75000000;150000000;0;60000000;50000000;95000000;0
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;PROHAJJ;Consumer;210000000;630000000;140000000;0;0;428000000;308000000;308000000;0
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;SME;SME;0;0;0;0;0;0;0;0;0
482 - MEDAN BARU;214 - KCP BINJAI;AUTO_LOAN;Consumer;0;0;0;0;0;0;0;0;0
482 - MEDAN BARU;214 - KCP BINJAI;CICIL_EMAS;Consumer;879729836;3315718800;136105400;877439135;430796307;109399818;2883121833;184740400;462028510
482 - MEDAN BARU;214 - KCP BINJAI;KPR;Consumer;0;0;0;0;0;0;0;0;0
482 - MEDAN BARU;214 - KCP BINJAI;MULTIGUNA;Consumer;390000000;50000000;100000000;100000000;312000000;0;116000000;100000000;100000000
482 - MEDAN BARU;214 - KCP BINJAI;PROHAJJ;Consumer;0;0;140000000;0;0;0;0;0;0
482 - MEDAN BARU;214 - KCP BINJAI;SME;SME;0;0;0;0;0;0;0;0;0
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;AUTO_LOAN;Consumer;0;0;0;0;0;0;0;0;0
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;CICIL_EMAS;Consumer;698295813;616488000;536203879;206757607;489040586;155678268;263375799;94939659;340291211
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;KPR;Consumer;0;0;0;0;0;0;0;0;0
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;MULTIGUNA;Consumer;140.000.000;0;0;0;0;200.000.000;0;0;0
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;PROHAJJ;Consumer;0;0;0;0;0;0;0;0;0
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;SME;SME;0;0;5000000000;0;2100000000;0;0;0;0
221 - PEKANBARU;221 - PEKANBARU;AUTO_LOAN;Consumer;0;0;0;0;0;0;0;0;0
221 - PEKANBARU;221 - PEKANBARU;CICIL_EMAS;Consumer;2.261.089.809;2.652.240.505;1930351612;1737638787;562044540;1963158249;774702820;3112388936;741776293
221 - PEKANBARU;221 - PEKANBARU;KPR;Consumer;0;0;0;200000000;250.000.000;495000000;0;0;0
221 - PEKANBARU;221 - PEKANBARU;MULTIGUNA;Consumer;232165000;0;50000000;0;0;20000000;102000000;115000000;50000000
221 - PEKANBARU;221 - PEKANBARU;PROHAJJ;Consumer;0;0;0;0;220000000;0;0;0;0
221 - PEKANBARU;221 - PEKANBARU;SME;SME;5000000000;5500000000;0;0;200000000;0;0;0;3000000000
221 - PEKANBARU;227 - KCP KAMPAR;AUTO_LOAN;Consumer;0;0;0;0;0;0;0;0;0
221 - PEKANBARU;227 - KCP KAMPAR;CICIL_EMAS;Consumer;1391610462;4861915000;161.258.000;754438298;1102113032;260609903;400770430;837130487;352841907
221 - PEKANBARU;227 - KCP KAMPAR;KPR;Consumer;0;0;0;0;0;0;0;0;0
221 - PEKANBARU;227 - KCP KAMPAR;MULTIGUNA;Consumer;264000000;195000000;200000000;65000000;70000000;95000000;86300000;136850000;0
221 - PEKANBARU;227 - KCP KAMPAR;PROHAJJ;Consumer;420000000;140000000;70000000;0;110000000;0;770000000;0;0
221 - PEKANBARU;227 - KCP KAMPAR;SME;SME;0;0;0;0;0;0;0;0;0
211 - MEDAN BALAIKOTA;230 - KCP SERDANG;AUTO_LOAN;Consumer;0;0;0;0;0;0;0;0;0
211 - MEDAN BALAIKOTA;230 - KCP SERDANG;CICIL_EMAS;Consumer;708837517;758129815;1656449953;962738448;112360202;769272391;757258375;677939380;264752232
211 - MEDAN BALAIKOTA;230 - KCP SERDANG;KPR;Consumer;0;0;0;0;0;0;0;0;0
211 - MEDAN BALAIKOTA;230 - KCP SERDANG;MULTIGUNA;Consumer;0;0;0;0;0;0;0;0;0
211 - MEDAN BALAIKOTA;230 - KCP SERDANG;PROHAJJ;Consumer;0;0;0;0;0;0;0;0;0
211 - MEDAN BALAIKOTA;230 - KCP SERDANG;SME;SME;0;0;0;6500000000;0;0;0;500000000;0
211 - MEDAN BALAIKOTA;231 - PADANGSIDIMPUAN;AUTO_LOAN;Consumer;0;0;0;0;0;0;0;0;0
211 - MEDAN BALAIKOTA;231 - PADANGSIDIMPUAN;CICIL_EMAS;Consumer;352370283;539345300;269031517;940496389;738215945;179061541;721445636;712240163;12821975
211 - MEDAN BALAIKOTA;231 - PADANGSIDIMPUAN;KPR;Consumer;0;0;0;0;0;0;0;0;0
