CO-BRANCH;OFFICE;PRODUCT;GROUP;Des-25;Jan-26;Feb-26;Mar-26;Apr-26;Mei-26;Jun-26;Jul-26;Agu-26
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;AUTO_LOAN;Consumer;74445847,82;72909987,8;71862062,14;70300364,28;68723049,44;66611418,22;0;63895833,51;63366867,56
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;CICIL_EMAS;Consumer;10551416158;12.210.821.053;13844926059;17370445921;18688977846;18447122017;18195425065;18582277481;18490342083
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;KPR;Consumer;24252365659;24619974877;23765131191;23235805001;23379483553;22680357789;22268650605;21648907543;21402836222
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;MULTIGUNA;Consumer;3853451746;3756225047;3530500950;3577525062;3481981700;3455470027;3417404701;3416001544;3370663379
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;PROHAJJ;Consumer;2858978289;3389522368;3425647303;3302705907;3165563768;3396216520;3576551441;3732162216;3655390168
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;SME;SME;7941856479;7848681553;7759721522;7559749492;7492704069;7401200858;7328134368;7237991635;7185778333
482 - MEDAN BARU;214 - KCP BINJAI;AUTO_LOAN;Consumer;0;0;0;0;0;0;0;0;0
482 - MEDAN BARU;214 - KCP BINJAI;CICIL_EMAS;Consumer;2065660788;5244460812;5185775026;5862708853;6063829225;5958272465;8617322007;8537511673;8860562174
482 - MEDAN BARU;214 - KCP BINJAI;KPR;Consumer;573303300,2;559904800,3;545273348,7;530599856,5;513683979,9;501838912,9;488812370,7;476721230,1;467897986,7
482 - MEDAN BARU;214 - KCP BINJAI;MULTIGUNA;Consumer;2219751521;2236399259;2302191647;2367516650;2643324473;2604427168;2681655498;2744065338;2813617323
482 - MEDAN BARU;214 - KCP BINJAI;PROHAJJ;Consumer;318100118,5;303218678,4;429577952,3;412026512,7;394223526,2;376673233,2;359220868,2;338887805,9;331127807,1
482 - MEDAN BARU;214 - KCP BINJAI;SME;SME;34105105,57;32292079,67;30456390,93;30456390,93;26715888,25;24810497,07;24810497,07;24810497,07;20927964,78
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;AUTO_LOAN;Consumer;0;0;0;0;0;0;0;0;0
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;CICIL_EMAS;Consumer;2512713230;2966098308;3332694728;3378057930;3693527553;3650233855;3690328955;3585862261;3834857315
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;KPR;Consumer;1627884607;1605167400;1580247716;1554177158;1528969232;1508139894;1416438978;1394952951;1387331347
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;MULTIGUNA;Consumer;1.341.169.993;1307965691;1275138794;1242352121;1206951533;1.372.744.177;1327580396;1294928229;1285397359
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;PROHAJJ;Consumer;435527627;409214795,4;384706687,6;355995323,6;329093931,8;304525821,6;274271173,1;246340874,6;242868805,8
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;SME;SME;2064053964;2037882379;7012799399;6948795015;8985641125;8904158390;8822072278;8739378279;8721095313
