CO-BRANCH;OFFICE;PRODUCT;GROUP;Des-25;Jan-26;Feb-26;Mar-26;Apr-26;Mei-26;Jun-26;Jul-26;Agu-26
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;Deposito;TD;97.624.250.342;97.912.019.879;97.385.680.210;105.115.735.619;106.769.799.194;105.262.896.402;104.203.403.498;105.716.634.845;105.783.750.315
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;Giro;CASA;14.369.580.448;15.574.782.348;14.819.090.195;15.680.296.281;15.606.971.338;15.282.048.230;15.894.721.879;78.371.706.725;78.761.939.168
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;Tabungan;CASA;134.266.854.557;130.889.925.078;127.068.688.280;128.059.136.577;125.157.051.711;124.568.316.036;126.943.737.931;127.301.796.692;125.594.933.876
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;Deposito;TD;79.341.770.373;80.155.442.255;79.200.923.909;79.058.671.403;78.761.746.349;79.847.499.049;80.900.306.748;79.943.112.163;79.215.786.695
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;Giro;CASA;1.455.335.844;1.470.374.531;6.659.907.504;6.553.405.735;4.411.845.898;2.337.805.322;2.470.838.962;2.260.301.534;2.560.271.405
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;Tabungan;CASA;35.974.527.825;33.451.328.021;32.009.142.936;32.846.094.101;33.365.348.900;30.552.689.981;28.999.403.827;29.187.209.456;29.221.780.039
211 - MEDAN BALAIKOTA;230 - KCP SERDANG;Deposito;TD;38.137.187.414;31.543.753.656;34.746.481.162;39.220.674.506;41.302.482.734;41.512.306.396;39.967.138.538;40.395.275.142;39.522.930.499
211 - MEDAN BALAIKOTA;230 - KCP SERDANG;Giro;CASA;6.481.691.783;8.204.099.790;6.424.363.522;5.610.616.260;6.439.514.359;5.922.337.914;5.727.358.080;5.811.610.672;6.399.415.162
211 - MEDAN BALAIKOTA;230 - KCP SERDANG;Tabungan;CASA;33.918.773.148;34.035.192.169;31.787.111.486;32.456.046.573;30.961.981.033;32.050.176.447;28.317.952.013;28.017.929.867;27.750.921.806
211 - MEDAN BALAIKOTA;231 - PADANGSIDIMPUAN;Deposito;TD;17.210.877.546;16.934.882.254;17.275.573.234;17.951.865.604;18.167.851.025;18.005.624.582;17.200.764.407;17.214.418.988;15.962.466.933
211 - MEDAN BALAIKOTA;231 - PADANGSIDIMPUAN;Giro;CASA;5.198.564.145;5.291.680.600;7.080.857.200;7.539.459.289;6.377.793.926;5.362.634.792;6.552.167.029;6.688.187.051;6.887.685.927
211 - MEDAN BALAIKOTA;231 - PADANGSIDIMPUAN;Tabungan;CASA;63.325.404.501;63.201.253.315;62.502.284.428;60.790.141.243;60.521.069.013;59.823.745.957;60.214.744.317;59.328.280.797;60.317.996.406
