CABANG_KOORDINATOR;OPEN_OFFICE;FLAG_PRIO;GROUP;Jan-25;Feb-25;Mar-25;Apr-25;Mei-25;Jun-25;Jul-25;Agu-25;Sep-25;Okt-25;Nov-25;Des-25;Jan-26;Feb-26;Mar-26;Apr-26;Mei-26;Jun-26;Jul-26;Agu-26
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;PRIO;TD;68.656.605.135;69.503.110.608;70.247.858.171;66.972.150.956;68.660.925.030;66.299.243.632;72.419.094.602;69.973.080.114;76.230.111.024;76.191.854.773;74.081.340.443;76.380.221.787;76.753.565.758;76.713.019.727;84.339.289.702;86.105.362.634;84.569.983.660;83.054.524.537;85.466.481.852;85.634.478.826
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;PRIO;CASA;2.156.283.164;2.006.678.321;2.007.074.250;2.007.482.901;2.007.897.357;2.008.308.224;2.008.715.313;2.560.312.551;2.566.234.605;2.726.484.608;2.351.882.210;2.352.571.939;2.353.263.831;2.353.913.063;2.204.745.186;2.215.604.977;1.814.377.477;2.340.061.315;1.880.926.172;2.043.959.124
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;PRIO;CASA;50.888.875.676;49.863.322.727;48.042.522.813;47.541.280.347;48.623.094.574;49.295.706.782;50.633.510.843;51.678.626.218;49.609.485.893;49.363.616.390;49.293.429.057;49.383.375.251;47.213.367.062;46.243.606.675;46.571.028.407;44.762.397.389;43.851.908.655;45.325.579.605;43.651.793.396;41.865.759.674
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;NON PRIO;TD;22.820.588.906;24.061.100.390;22.806.089.676;23.671.324.343;29.154.519.727;23.191.817.403;22.567.225.539;21.872.971.415;22.085.048.713;22.165.451.503;21.599.546.233;21.244.028.556;21.158.454.121;20.672.660.484;20.776.445.918;20.664.436.560;20.692.912.742;21.148.878.961;20.250.152.994;19.965.134.955
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;NON PRIO;CASA;11.365.825.067;13.878.942.681;13.569.029.127;12.532.189.100;11.796.327.621;12.056.139.930;13.247.840.523;12.897.914.554;12.348.492.259;13.656.482.478;12.350.819.777;12.017.008.510;13.221.518.516;12.465.177.132;13.475.551.095;13.391.366.361;13.467.670.752;13.554.660.564;76.490.780.553;75.696.826.712
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;NON PRIO;CASA;85.040.620.300;85.966.442.321;86.646.698.826;84.191.526.145;82.814.673.974;83.369.597.186;82.537.184.585;82.150.881.020;86.156.683.755;84.227.190.972;82.454.290.398;84.883.479.306;83.676.558.016;80.825.081.605;81.488.108.170;80.394.654.322;80.716.407.381;81.618.158.326;83.650.003.295;84.965.504.562
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;PRIO;TD;27.134.308.027;27.026.304.615;29.562.854.109;28.063.435.429;28.578.307.528;29.302.633.167;29.315.088.958;30.327.721.825;30.532.839.577;29.413.246.594;25.738.924.335;25.680.907.412;25.831.529.588;25.982.021.763;26.042.734.171;25.643.743.139;27.195.961.372;27.338.165.767;26.585.449.433;26.082.774.862
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;PRIO;CASA;211.900.200;161.880.200;100.862.700;100.845.200;100.827.700;100.807.700;787.700;770.200;752.700;732.700;712.700;0;0;0;0;0;0;0;0;0
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;PRIO;CASA;13.058.704.943;13.001.873.212;12.783.399.719;10.687.679.366;9.954.062.068;11.825.251.473;10.789.935.910;9.575.689.885;9.999.223.664;9.521.544.871;11.786.170.327;12.222.980.195;8.948.385.753;9.028.743.764;8.891.569.845;9.608.522.969;8.828.293.714;7.661.037.735;7.397.502.744;7.603.771.678
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;NON PRIO;TD;53.066.724.384;53.186.343.516;53.247.319.030;52.329.914.267;52.422.062.483;52.517.621.152;52.405.710.869;52.439.818.698;53.764.773.329;53.827.632.637;54.027.073.034;53.660.862.960;54.323.912.667;53.218.902.146;53.015.937.232;53.118.003.210;52.651.537.677;53.562.140.982;53.357.662.730;48.341.071.878
