CO-BRANCH;OFFICE;PRODUCT;GROUP;Des-25;Jan-26;Feb-26;Mar-26;Apr-26;Mei-26;Jun-26;Jul-26;Agu-26
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;Teller;Reguler;26;35;13;16;17;25;48;38;18
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;Mobile Banking;Reguler;27;6;10;20;18;22;24;42;17
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;Khusus;Khusus;15;20;22;2;9;4;17;22;2
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;Teller;Reguler;5;4;3;9;3;2;14;4;1
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;Mobile Banking;Reguler;1;0;1;0;0;0;0;0;1
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;Khusus;Khusus;0;0;0;0;0;0;0;0;0
211 - MEDAN BALAIKOTA;230 - KCP SERDANG;Teller;Reguler;4;4;4;1;3;6;10;10;1
211 - MEDAN BALAIKOTA;230 - KCP SERDANG;Mobile Banking;Reguler;1;0;1;0;0;1;4;1;2
211 - MEDAN BALAIKOTA;230 - KCP SERDANG;Khusus;Khusus;0;0;0;0;0;0;1;0;0
211 - MEDAN BALAIKOTA;231 - PADANGSIDIMPUAN;Teller;Reguler;27;11;2;9;14;9;6;28;1
211 - MEDAN BALAIKOTA;231 - PADANGSIDIMPUAN;Mobile Banking;Reguler;12;7;4;15;12;7;14;14;7
211 - MEDAN BALAIKOTA;231 - PADANGSIDIMPUAN;Khusus;Khusus;0;1;0;0;0;0;0;0;0
211 - MEDAN BALAIKOTA;233 - KCP PANYABUNGAN;Teller;Reguler;4;15;2;2;4;3;17;6;4
211 - MEDAN BALAIKOTA;233 - KCP PANYABUNGAN;Mobile Banking;Reguler;21;29;15;15;26;22;25;30;7
211 - MEDAN BALAIKOTA;233 - KCP PANYABUNGAN;Khusus;Khusus;0;0;0;0;0;0;0;0;0
221 - PEKANBARU;221 - PEKANBARU;Teller;Reguler;19;33;10;0;2;20;16;11;3
221 - PEKANBARU;221 - PEKANBARU;Mobile Banking;Reguler;14;4;2;2;4;13;2;0;3
221 - PEKANBARU;221 - PEKANBARU;Khusus;Khusus;26;21;26;10;16;29;42;16;0
221 - PEKANBARU;227 - KCP KAMPAR;Teller;Reguler;17;14;7;2;9;19;7;20;2
221 - PEKANBARU;227 - KCP KAMPAR;Mobile Banking;Reguler;31;19;8;9;21;30;35;21;26
221 - PEKANBARU;227 - KCP KAMPAR;Khusus;Khusus;4;4;1;0;2;0;10;0;0
221 - PEKANBARU;411 - BATAM;Teller;Reguler;17;0;2;1;7;9;10;0;1
221 - PEKANBARU;411 - BATAM;Mobile Banking;Reguler;2;0;4;3;3;0;4;2;1
221 - PEKANBARU;411 - BATAM;Khusus;Khusus;12;13;1;18;5;8;13;16;2
221 - PEKANBARU;451 - TANJUNG PINANG;Teller;Reguler;7;2;2;7;0;2;2;0;0
221 - PEKANBARU;451 - TANJUNG PINANG;Mobile Banking;Reguler;5;3;4;2;2;1;11;1;3
221 - PEKANBARU;451 - TANJUNG PINANG;Khusus;Khusus;0;0;0;4;1;2;7;2;0
241 - BANDA ACEH;241 - BANDA ACEH;Teller;Reguler;54;49;32;11;26;32;55;38;26
241 - BANDA ACEH;241 - BANDA ACEH;Mobile Banking;Reguler;0;1;0;1;0;1;2;2;0
241 - BANDA ACEH;241 - BANDA ACEH;Khusus;Khusus;0;0;0;0;0;0;0;0;2
241 - BANDA ACEH;261 - LANGSA;Teller;Reguler;5;9;5;12;32;38;71;49;12
241 - BANDA ACEH;261 - LANGSA;Mobile Banking;Reguler;1;8;3;7;3;4;11;7;7
241 - BANDA ACEH;261 - LANGSA;Khusus;Khusus;0;0;0;0;0;0;0;0;0
241 - BANDA ACEH;262 - KCP LHOKSEUMAWE;Teller;Reguler;20;25;14;16;23;38;22;29;21
241 - BANDA ACEH;262 - KCP LHOKSEUMAWE;Mobile Banking;Reguler;0;0;0;0;0;0;0;0;0
241 - BANDA ACEH;262 - KCP LHOKSEUMAWE;Khusus;Khusus;0;0;0;0;0;1;0;0;0
351 - LAMPUNG;351 - LAMPUNG;Teller;Reguler;40;19;18;8;11;33;25;47;11
351 - LAMPUNG;351 - LAMPUNG;Mobile Banking;Reguler;59;34;24;18;25;22;49;42;18
351 - LAMPUNG;351 - LAMPUNG;Khusus;Khusus;7;2;6;2;3;3;3;1;0
351 - LAMPUNG;352 - KCP BANDAR JAYA;Teller;Reguler;94;76;71;18;57;100;120;123;33
351 - LAMPUNG;352 - KCP BANDAR JAYA;Mobile Banking;Reguler;0;0;1;0;0;0;0;0;0
351 - LAMPUNG;352 - KCP BANDAR JAYA;Khusus;Khusus;6;0;6;0;0;1;0;0;1
351 - LAMPUNG;353 - KCP METRO LAMPUNG;Teller;Reguler;46;35;26;16;56;53;76;66;43
351 - LAMPUNG;353 - KCP METRO LAMPUNG;Mobile Banking;Reguler;23;20;9;8;24;14;53;17;10
351 - LAMPUNG;353 - KCP METRO LAMPUNG;Khusus;Khusus;0;2;0;0;7;2;0;1;0
351 - LAMPUNG;355 - KCP ZA PAGAR ALAM LAMPUNG;Teller;Reguler;4;4;4;8;8;12;8;24;9
351 - LAMPUNG;355 - KCP ZA PAGAR ALAM LAMPUNG;Mobile Banking;Reguler;0;5;0;2;1;0;6;5;0
351 - LAMPUNG;355 - KCP ZA PAGAR ALAM LAMPUNG;Khusus;Khusus;1;0;0;2;0;0;0;0;0
351 - LAMPUNG;356 - KCP KOTABUMI LAMPUNG;Teller;Reguler;38;22;14;13;35;57;74;80;36
351 - LAMPUNG;356 - KCP KOTABUMI LAMPUNG;Mobile Banking;Reguler;10;8;9;6;14;19;6;27;10
351 - LAMPUNG;356 - KCP KOTABUMI LAMPUNG;Khusus;Khusus;0;2;0;0;2;0;4;4;2
361 - PALEMBANG;361 - PALEMBANG;Teller;Reguler;9;10;5;1;10;7;15;12;7
361 - PALEMBANG;361 - PALEMBANG;Mobile Banking;Reguler;5;7;1;4;4;5;6;8;0
361 - PALEMBANG;361 - PALEMBANG;Khusus;Khusus;37;11;20;3;6;29;15;27;20
