CO-BRANCH;OFFICE;PRODUCT;GROUP;Des-25;Jan-26;Feb-26;Mar-26;Apr-26;Mei-26;Jun-26;Jul-26;Agu-26
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;MDIN;All;79;85;59;55;49;68;107;112;59
482 - MEDAN BARU;214 - KCP BINJAI;MDIN;All;18;31;17;34;33;22;34;30;17
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;MDIN;All;19;30;21;23;16;15;28;16;21
221 - PEKANBARU;221 - PEKANBARU;MDIN;All;107;60;76;121;56;68;75;104;76
221 - PEKANBARU;227 - KCP KAMPAR;MDIN;All;57;53;35;27;51;113;59;81;35
211 - MEDAN BALAIKOTA;230 - KCP SERDANG;MDIN;All;15;51;12;22;17;17;21;29;12
211 - MEDAN BALAIKOTA;231 - PADANGSIDIMPUAN;MDIN;All;62;178;24;57;94;38;53;48;24
211 - MEDAN BALAIKOTA;233 - KCP PANYABUNGAN;MDIN;All;48;55;10;31;47;30;67;55;10
241 - BANDA ACEH;241 - BANDA ACEH;MDIN;All;29;75;38;40;56;120;207;29;38
482 - MEDAN BARU;251 - PEMATANG SIANTAR;MDIN;All;18;22;17;26;14;18;18;17;17
482 - MEDAN BARU;252 - KCP KISARAN;MDIN;All;35;14;24;12;63;48;61;33;24
241 - BANDA ACEH;261 - LANGSA;MDIN;All;17;175;33;47;35;25;34;46;33
241 - BANDA ACEH;262 - KCP LHOKSEUMAWE;MDIN;All;20;194;28;52;60;41;45;79;28
351 - LAMPUNG;351 - LAMPUNG;MDIN;All;142;78;60;54;84;71;110;118;60
351 - LAMPUNG;352 - KCP BANDAR JAYA;MDIN;All;27;18;17;18;30;16;25;43;17
351 - LAMPUNG;353 - KCP METRO LAMPUNG;MDIN;All;69;74;55;56;91;56;108;72;55
351 - LAMPUNG;355 - KCP ZA PAGAR ALAM LAMPUNG;MDIN;All;35;50;44;69;48;37;68;62;44
351 - LAMPUNG;356 - KCP KOTABUMI LAMPUNG;MDIN;All;38;45;34;35;39;34;42;64;34
361 - PALEMBANG;361 - PALEMBANG;MDIN;All;90;63;54;57;84;57;99;181;54
361 - PALEMBANG;366 - KCP PLAJU;MDIN;All;44;40;102;40;48;19;56;56;102
371 - PANGKAL PINANG;371 - PANGKAL PINANG;MDIN;All;43;43;37;48;63;51;44;102;37
371 - PANGKAL PINANG;372 - KCP TANJUNG PANDAN;MDIN;All;9;12;8;31;19;16;53;22;8
371 - PANGKAL PINANG;373 - KCP SUNGAILIAT;MDIN;All;30;51;27;24;31;40;47;66;27
361 - PALEMBANG;398 - KCP BATURAJA;MDIN;All;15;11;8;18;23;17;23;23;8
361 - PALEMBANG;401 - KCP ENIM;MDIN;All;20;26;20;7;11;19;38;31;20
221 - PEKANBARU;411 - BATAM;MDIN;All;40;37;55;54;44;32;41;70;55
421 - PADANG;421 - PADANG;MDIN;All;52;338;81;51;55;55;48;82;81
421 - PADANG;422 - KCP BUKITTINGGI;MDIN;All;37;116;12;24;40;25;27;42;12
421 - PADANG;423 - KCP PAYAKUMBUH;MDIN;All;42;16;12;17;27;17;23;19;12
421 - PADANG;424 - KCP SOLOK;MDIN;All;32;32;14;33;33;17;18;43;14
431 - BENGKULU;431 - BENGKULU;MDIN;All;58;52;37;30;42;50;64;97;37
431 - BENGKULU;432 - KCP CURUP;MDIN;All;33;35;29;42;46;32;69;55;29
431 - BENGKULU;441 - JAMBI;MDIN;All;30;26;43;43;53;18;31;77;43
431 - BENGKULU;442 - KCP MUARA BUNGO;MDIN;All;36;35;33;19;42;52;42;70;33
221 - PEKANBARU;451 - TANJUNG PINANG;MDIN;All;18;29;38;31;22;12;34;31;38
482 - MEDAN BARU;467 - KCP STABAT;MDIN;All;25;85;15;36;28;21;20;24;15
431 - BENGKULU;473 - KCP MANNA BENGKULU;MDIN;All;6;13;7;10;22;9;20;29;7
431 - BENGKULU;474 - KCP ARGA MAKMUR;MDIN;All;17;16;13;59;39;17;22;40;13
482 - MEDAN BARU;482 - MEDAN BARU;MDIN;All;74;152;72;118;129;100;114;138;72
371 - PANGKAL PINANG;495 - KCP KOBA;MDIN;All;36;20;21;24;50;40;71;42;21
