Co-Branch;Branch;Product_Name;Group;Jan-25;Feb-25;Mar-25;Apr-25;Mei-25;Jun-25;Jul-25;Agu-25;Sep-25;Okt-25;Nov-25;Des-25;Jan-26;Feb-26;Mar-26;Apr-26;Mei-26;Jun-26;Jul-26;Agu-26
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;ASHA;REFERRAL;0;0;;;;48000000;24000000;;16.000.000;135.000.000;;16.000.000;;16.000.000;16.000.000;30.000.000;16.000.000;20.000.000;16000000;20000000
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;ASHAR;REFERRAL;0;0;;;;;;;;;;;67.608.000;102638600;;;;;;
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;Hijrah Cendekia;DISTRIBUSI;0;0;;;;;;;;0;;;;;;;3600000;;;
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;SAHAJA;DISTRIBUSI;0;0;;;;;;;;12.000.000;12.000.000;37.500.000;;;;;;;12000000;
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;ASHA;REFERRAL;0;0;;;;24000000;;;;;;;;;16000000;;;;12000000;
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;Hijrah Cendekia;DISTRIBUSI;0;0;3600000;;;;;;;;;;;;;;;;;
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;SAHAJA;DISTRIBUSI;0;0;;;;;;;;;15000000;60000000;;;;;;;;
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;SHIFA;REFERRAL;0;0;;;;;;;;;;;;;;3513120;;;;
211 - MEDAN BALAIKOTA;230 - KCP SERDANG;ASHA;REFERRAL;0;0;;;;20000000;;;16000000;;;36000000;;;;;;;16000000;
211 - MEDAN BALAIKOTA;230 - KCP SERDANG;SAHAJA;DISTRIBUSI;0;0;;;;;;;;7500000;30000000;45900000;;;;;;;;
211 - MEDAN BALAIKOTA;231 - PADANGSIDIMPUAN;ASHA;REFERRAL;0;0;;;;;15000000;;;;;;;;;;;;;16000000
211 - MEDAN BALAIKOTA;231 - PADANGSIDIMPUAN;SAHAJA;DISTRIBUSI;0;0;;;;;;;7500000;7500000;636000000;792000000;;;;7500000;;;;30000000
211 - MEDAN BALAIKOTA;233 - KCP PANYABUNGAN;ASHA;REFERRAL;0;0;;;;;;;;;80000000;20000000;;;;;;;20000000;
211 - MEDAN BALAIKOTA;233 - KCP PANYABUNGAN;SAHAJA;DISTRIBUSI;0;0;;;;;;;6750000;;168000000;66000000;;;;;;;;
211 - MEDAN BALAIKOTA;233 - KCP PANYABUNGAN;SHIFA;REFERRAL;0;0;;;;;;;;;;;;;;;;;1478000;
221 - PEKANBARU;221 - PEKANBARU;ASHA;REFERRAL;0;0;;;;;25000000;;;;;;;;;;;;;
221 - PEKANBARU;221 - PEKANBARU;SAHAJA;DISTRIBUSI;0;0;;;;;;;;7.500.000;7500000;172680000;;;;;;;7500000;
221 - PEKANBARU;227 - KCP KAMPAR;ASHA;REFERRAL;0;0;;;;;;;;16000000;;;;;;;;16000000;16000000;
221 - PEKANBARU;227 - KCP KAMPAR;SAHAJA;DISTRIBUSI;0;0;;;;;;;7500000;;15000000;7500000;;;;;;;;
221 - PEKANBARU;411 - BATAM;ASHAR;REFERRAL;0;0;;;;;;;;;;;53763200;;;;;;;
221 - PEKANBARU;411 - BATAM;Hijrah Cendekia;DISTRIBUSI;0;0;;;;;;3600000;50.000.000;;;;;;;;;;;
221 - PEKANBARU;411 - BATAM;SAHAJA;DISTRIBUSI;0;0;;;;;;;7500000;7500000;25500000;66780000;;;;;;12000000;12000000;
221 - PEKANBARU;451 - TANJUNG PINANG;Hijrah Cendekia;DISTRIBUSI;0;0;4000000;;;;;;;;;;;;;;;;;
221 - PEKANBARU;451 - TANJUNG PINANG;SAHAJA;DISTRIBUSI;0;0;;;;;;;;;35400000;57.000.000;;;;;;;;
241 - BANDA ACEH;241 - BANDA ACEH;Hijrah Cendekia;DISTRIBUSI;0;0;4800000;;;;6000000;;;;;;;;0;;;3600000;;
241 - BANDA ACEH;241 - BANDA ACEH;SAHAJA;DISTRIBUSI;0;0;;;;;;;;;30000000;240000000;;;7500000;;;;15000000;
241 - BANDA ACEH;261 - LANGSA;ASHA;REFERRAL;0;0;12000000;28000000;36000000;12000000;76000000;38000000;66000000;32000000;16000000;32000000;16000000;32000000;20000000;32000000;32000000;48000000;16000000;16000000
241 - BANDA ACEH;261 - LANGSA;SAHAJA;DISTRIBUSI;0;0;;;;;;;;;;;;;6000000;;;;;
241 - BANDA ACEH;261 - LANGSA;SHIFA;REFERRAL;0;0;;;;;;;;;;;;;;;;2896400;;
241 - BANDA ACEH;262 - KCP LHOKSEUMAWE;ASHA;REFERRAL;0;0;36000000;36000000;118000000;105000000;135000000;116000000;116000000;142000000;95000000;129000000;102000000;125000000;73000000;141000000;122000000;77000000;161000000;76000000
241 - BANDA ACEH;262 - KCP LHOKSEUMAWE;SAHAJA;DISTRIBUSI;0;0;;;;;30000000;;;12000000;12000000;27600000;15600000;15600000;;31200000;15600000;15600000;18840000;
351 - LAMPUNG;351 - LAMPUNG;ASHA;REFERRAL;0;0;;20000000;20000000;67000000;52000000;20000000;;50000000;40.000.000;;;;16000000;16000000;16000000;20000000;20000000;
351 - LAMPUNG;351 - LAMPUNG;Hijrah Cendekia;DISTRIBUSI;0;0;;;3600000;;;;15600000;7200000;;0;;;;;;18000000;;
351 - LAMPUNG;351 - LAMPUNG;SAHAJA;DISTRIBUSI;0;0;20000000;;;;;;;;7500000;;;;;;;15000000;;
351 - LAMPUNG;351 - LAMPUNG;SHIFA;REFERRAL;0;0;;;;;;;;;;;;;;;;1658800;;
351 - LAMPUNG;352 - KCP BANDAR JAYA;ASHA;REFERRAL;0;0;12000000;48000000;36000000;36000000;75000000;48000000;16000000;32000000;32.000.000;16.000.000;16000000;16000000;16000000;;;8000000;;16000000
351 - LAMPUNG;352 - KCP BANDAR JAYA;Hijrah Cendekia;DISTRIBUSI;0;0;3600000;;;;;;;;;;;;;;;;;
351 - LAMPUNG;352 - KCP BANDAR JAYA;SAHAJA;DISTRIBUSI;0;0;;;;;;;;;12000000;15000000;;;;;;;12000000;
351 - LAMPUNG;353 - KCP METRO LAMPUNG;ASHA;REFERRAL;0;0;;;16000000;16000000;;24000000;16000000;32000000;16000000;36000000;16000000;;;16000000;16000000;16000000;68000000;
351 - LAMPUNG;353 - KCP METRO LAMPUNG;SAHAJA;DISTRIBUSI;0;0;;;;;;;;;12000000;15.000.000;;;;;;28500000;;
351 - LAMPUNG;355 - KCP ZA PAGAR ALAM LAMPUNG;ASHA;REFERRAL;0;0;;20000000;;16000000;;;;20000000;30.000.000;;20000000;;;;;;20000000;
351 - LAMPUNG;355 - KCP ZA PAGAR ALAM LAMPUNG;ASHAR;REFERRAL;0;0;;;;;;;;;;;;;;51366000;;;;
351 - LAMPUNG;355 - KCP ZA PAGAR ALAM LAMPUNG;SAHAJA;DISTRIBUSI;0;0;;;;;;;7500000;;;7500000;;;;;;;;
351 - LAMPUNG;355 - KCP ZA PAGAR ALAM LAMPUNG;SHIFA;REFERRAL;0;0;;;;;;;;;;;;;;;;;1546480;
